Species,Number,Diameter1,Diameter2,Height,Leaves
Quercus alba,1,0.228,0.207,11.9,2
Quercus alba,2,0.202,0.195,9.9,6
Quercus alba,3,0.379,0.431,19.1,9
Quercus alba,4,0.19,0.178,12.6,7
Quercus alba,5,0.292,0.308,25.2,5
Quercus alba,6,0.293,0.28,17.9,14
Quercus alba,7,0.162,0.159,6.1,7
Quercus alba,8,0.227,0.226,9.5,7
Quercus alba,9,0.194,0.196,9.2,7
Quercus alba,10,0.154,0.16,8.8,11
Quercus alba,11,0.275,0.27,13.5,4
Quercus alba,12,0.438,0.326,8.7,7
Quercus alba,13,0.335,0.322,11.3,5
Quercus alba,14,0.277,0.258,11.8,14
Quercus alba,15,0.224,0.228,12.1,4
Quercus alba,16,0.264,0.263,12.2,8
Quercus alba,17,0.288,0.264,12,15
Quercus alba,18,0.204,0.199,9.7,3
Quercus alba,19,0.191,0.202,7.4,5
Quercus alba,20,0.21,0.204,9.9,4
Quercus alba,21,0.322,0.338,22.9,8
Quercus alba,22,0.241,0.243,13,7
Quercus alba,23,0.303,0.31,11.1,6
Quercus alba,24,0.218,0.188,6.2,4
Quercus alba,25,0.246,0.263,9.2,3
Quercus alba,26,0.192,0.191,13.1,12
Quercus alba,27,0.312,0.318,8,3
Quercus alba,28,0.222,0.23,13.6,7
Quercus alba,29,0.147,0.15,5.9,4
Quercus alba,30,0.196,0.194,12.4,8
Quercus alba,31,0.224,0.251,11.6,4
Quercus alba,32,0.368,0.36,17.1,9
Quercus alba,33,0.173,0.174,8.4,6
Quercus alba,34,0.254,0.278,16.4,5
Quercus alba,35,0.178,0.181,6.6,5
Quercus alba,36,0.254,0.278,16.4,5
Quercus alba,37,0.177,0.178,6.3,3
Quercus alba,38,0.267,0.293,13.8,9
Quercus alba,39,0.263,0.261,9.4,7
Quercus alba,40,0.216,0.23,15.6,4
Quercus alba,41,0.226,0.242,14,8
Quercus alba,42,0.252,0.253,14.8,8
Quercus alba,43,0.208,0.214,10.4,4
Quercus alba,44,0.22,0.228,10.3,12
Quercus alba,45,0.189,0.185,8.8,7
Quercus alba,46,0.257,0.25,12.9,4
Quercus alba,47,0.193,0.182,11.8,7
Quercus alba,48,0.298,0.308,8.2,4
Quercus alba,49,0.419,0.477,16.2,5
Quercus alba,50,0.2,0.191,10.1,9
Quercus alba,51,0.27,0.264,16.7,5
Quercus alba,52,0.198,0.21,7.8,4
Quercus alba,53,0.331,0.319,13.6,7
Quercus alba,54,0.212,0.241,12.1,6
Quercus alba,55,0.244,0.246,10.5,4
Quercus alba,56,0.233,0.21,11.3,15
Quercus alba,57,0.262,0.258,13.4,10
Quercus alba,58,0.27,0.298,15.1,5
Quercus alba,59,0.14,0.142,5.5,2
Quercus alba,60,0.225,0.219,8.3,6
Quercus alba,61,0.234,0.254,11.6,6
Quercus alba,62,0.33,0.27,13.4,10
Quercus alba,63,0.167,0.19,6.7,5
Quercus alba,64,0.223,0.218,6.8,7
Quercus alba,65,0.24,0.241,7.1,10
Quercus alba,66,0.258,0.254,11.9,16
Quercus alba,67,0.28,0.277,10.6,5
Quercus alba,68,0.128,0.242,5.6,5
Quercus alba,69,0.161,0.15,7.6,9
Quercus alba,70,0.168,0.169,4.2,5
Quercus alba,71,0.304,0.301,9.4,7
Quercus alba,72,0.208,0.213,9.7,5
Quercus alba,73,0.274,0.261,8.7,3
Quercus alba,74A,0.284,0.273,9.1,2
Quercus alba,74B,0.204,0.195,5.1,3
Quercus alba,75A,0.318,0.282,15.8,6
Quercus alba,75B,0.205,0.205,10.4,4
Quercus alba,76,0.52,0.554,10.3,8
Quercus alba,77,0.394,0.433,18.6,12
Quercus alba,78,0.758,0.736,,9
Quercus coccinea,1,0.298,0.303,12.6,6
Quercus coccinea,2,0.262,0.251,10,5
Quercus coccinea,3,0.36,0.28,11.4,5
Quercus coccinea,4,0.173,0.21,4.7,3
Quercus coccinea,5,0.319,0.284,12.1,4
Quercus coccinea,6,0.238,0.25,8.4,6
Quercus coccinea,7,0.249,0.246,10.5,4
Quercus coccinea,8,0.209,0.221,8,4
Quercus coccinea,9,0.307,0.277,6.8,6
Quercus coccinea,10,0.227,0.221,10.9,8
Quercus coccinea,11,0.235,0.224,8.3,4
Quercus coccinea,12,0.208,0.208,8.6,4
Quercus coccinea,13,0.431,0.444,19.7,11
Quercus coccinea,14,0.239,0.242,9.5,5
Quercus coccinea,15,0.244,0.252,8,5
Quercus coccinea,16,0.282,0.291,11.2,3
Quercus coccinea,17,0.207,0.242,7.2,4
Quercus coccinea,18,0.213,0.22,7.4,4
Quercus coccinea,19,0.228,0.305,9,6
Quercus coccinea,20,0.243,0.24,8.7,4
Quercus coccinea,21,0.222,0.223,8.9,6
Quercus coccinea,22,0.245,0.231,10.5,4
Quercus coccinea,23,0.213,0.209,9.2,5
Quercus coccinea,24,0.28,0.249,11.1,4
Quercus coccinea,25,0.222,0.212,10.4,8
Quercus coccinea,26,0.317,0.292,10.9,5
Quercus coccinea,27,0.226,0.261,9.1,6
Quercus coccinea,28,0.25,0.251,8.3,5
Quercus coccinea,29,0.263,0.264,8.8,6
Quercus coccinea,30,0.227,0.218,8.2,4
Quercus coccinea,31,0.18,0.194,8.8,4
Quercus coccinea,32,0.263,0.268,10.4,4
Quercus coccinea,33,0.37,0.366,9.9,5
Quercus coccinea,34,0.179,0.209,6.7,4
Quercus coccinea,35,0.314,0.316,10.4,5
Quercus coccinea,36,0.248,0.23,9,3
Quercus coccinea,37,0.242,0.261,7.7,5
Quercus coccinea,38,0.258,0.248,11.9,5
Quercus coccinea,39,0.25,0.276,9.9,7
Quercus coccinea,40,0.208,0.232,7.8,4
Quercus coccinea,41,0.31,0.297,14.6,14
Quercus coccinea,42,0.252,0.259,10.4,5
Quercus coccinea,43,0.232,0.246,8.2,5
Quercus coccinea,44,0.274,0.232,10.2,6
Quercus coccinea,45,0.236,0.233,7.5,6
Quercus coccinea,46,0.263,0.276,12.6,5
Quercus coccinea,47,0.238,0.25,9.9,5
Quercus coccinea,48,0.241,0.243,9.8,4
Quercus coccinea,49,0.137,0.128,4.9,3
Quercus coccinea,50,0.212,0.214,6.6,5
Quercus coccinea,51,0.19,0.204,7.6,4
Quercus coccinea,52,0.212,0.262,8.6,10
Quercus coccinea,53,0.226,0.22,9,6
Quercus coccinea,54,0.214,0.24,8,5
Quercus coccinea,55,0.246,0.268,14.1,5
Quercus coccinea,56,0.318,0.333,11.7,4
Quercus coccinea,57,0.232,0.21,9.6,4
Quercus coccinea,58,0.225,0.226,9.9,4
Quercus coccinea,59,0.299,0.27,10.5,6
Quercus coccinea,60,0.232,0.22,8.2,4
Quercus coccinea,61,0.271,0.277,11.4,4
Quercus coccinea,62,0.219,0.231,6.9,4
Quercus coccinea,63,0.226,0.271,6.7,5
Quercus coccinea,64,0.16,0.176,6.2,6
Quercus coccinea,65,0.252,0.226,8.4,7
Quercus coccinea,66,0.203,0.213,7.7,6
Quercus coccinea,67,0.224,0.207,7.3,4
Quercus coccinea,68,0.242,0.242,9,6
Quercus coccinea,69,0.212,0.223,8,5
Quercus coccinea,70,0.345,0.303,11.9,6
Quercus coccinea,71,0.256,0.266,8.7,5
Quercus coccinea,72,0.249,0.248,6.8,6
Quercus coccinea,73,0.192,0.198,8,4
Quercus coccinea,74,0.25,0.235,10.4,3
Quercus coccinea,75,0.251,0.266,11.2,8
Quercus coccinea,76,0.188,0.186,10.1,9
Quercus coccinea,77,0.271,0.266,5.5,4
Quercus coccinea,78,0.24,0.216,3.5,6
Quercus coccinea,79A,0.15,0.156,6.5,4
Quercus coccinea,79B,0.151,0.151,5.6,4
Acer saccharum,1,0.454,0.47,23.6,21
Acer saccharum,2,0.709,0.71,99,16
Acer saccharum,3,0.608,0.646,52.5,20
Acer saccharum,4,0.746,0.732,88.7,34
Acer saccharum,5,0.78,0.631,101.6,28
Acer saccharum,6,0.792,0.813,53.4,18
Acer saccharum,7,0.659,0.787,49.8,26
Acer saccharum,8,0.788,0.797,53.2,22
Acer saccharum,9,0.734,0.702,59.9,29
Acer saccharum,10,0.84,0.819,63.2,28
Acer saccharum,11,0.398,0.352,18.4,8
Acer saccharum,12,0.462,0.48,21.4,26
Acer saccharum,13,0.532,0.534,31.8,12
Acer saccharum,14,0.735,0.777,52.8,35
Acer saccharum,15,0.642,0.658,57.5,21
Acer saccharum,16,0.612,0.617,59.8,57
Acer saccharum,17,0.73,0.748,86.7,44
Acer saccharum,18,0.536,0.528,68.3,12
Acer saccharum,19,0.616,0.598,50.9,24
Acer saccharum,20,0.527,0.598,47.1,14
Acer saccharum,21,0.426,0.421,53.2,27
Acer saccharum,22,0.69,0.716,71.3,26
Acer saccharum,23,0.458,0.456,23.8,12
Acer saccharum,24,0.608,0.618,43.7,33
Acer saccharum,25,0.597,0.589,73.4,30
Acer saccharum,26,0.648,0.679,50.4,21
Acer saccharum,27,0.654,0.603,64.7,30
Acer saccharum,28,0.638,0.64,77.1,28
Acer saccharum,29,0.603,0.605,35.7,14
Acer saccharum,30,0.596,0.666,66.5,22
Acer saccharum,31,0.73,0.731,79.1,18
Acer saccharum,32,0.738,0.752,78.2,56
Acer saccharum,33,0.703,0.716,42.4,26
Acer saccharum,34,0.494,0.493,26.6,14
Acer saccharum,35,0.685,0.669,74.8,30
Acer saccharum,36A,0.578,0.559,36.1,13
Acer saccharum,36B,0.284,0.257,13.4,6
Acer saccharum,37A,0.542,0.545,25.9,10
Acer saccharum,37B,0.342,0.308,9.2,6
Acer saccharum,38A,0.541,0.538,61.1,14
Acer saccharum,38B,0.397,0.398,24.9,4